,Date,NGAO
297,2017-10,-0.0631458079579537
298,2017-11,0.1800235285485943
299,2017-12,0.900394107551394
300,2018-01,0.1514769334298668
301,2018-02,0.07260735339987211
302,2018-03,-0.07745642910945269
303,2018-04,0.30822503618636393
304,2018-05,0.3018385353281045
305,2018-06,0.4832917210155071
306,2018-07,0.40866635629565823
307,2018-08,0.8287134968809624
308,2018-09,0.7794265810451851
309,2018-10,1.308422218824716
310,2018-11,1.1687748665471451
311,2018-12,0.873504565429408
312,2019-01,1.0720111089370463
313,2019-02,1.3276605696731016
314,2019-03,1.9187933753606048
315,2019-04,1.9073573767557352
316,2019-05,1.5276702771986705
317,2019-06,1.8760339233074945
318,2019-07,2.092767126730985
319,2019-08,2.066476060803787
320,2019-09,1.8892820342647387
321,2019-10,1.8527381185798821
322,2019-11,2.4899819645053864
323,2019-12,1.8504669874827233
324,2020-01,0.8337200559935914
325,2020-02,0.8857316973443016
326,2020-03,0.583181832202571
327,2020-04,0.814332470938987
328,2020-05,1.264939349351739
329,2020-06,1.1338709235334237
330,2020-07,1.0841883722840422
331,2020-08,0.5496010665604677
332,2020-09,0.6172656290969338
333,2020-10,0.9292618431326171
334,2020-11,0.5955469068519965
335,2020-12,0.3296772322382594
336,2021-01,0.35273628193646595
337,2021-02,0.010049892685584939
338,2021-03,-0.20408026688275185
339,2021-04,0.39479473914789
340,2021-05,0.12961970481723448
341,2021-06,-0.08237440966723014
342,2021-07,-0.21569793838902365
343,2021-08,-0.015495109508354291
344,2021-09,-0.4293379929045035
345,2021-10,-1.2106741634813438
346,2021-11,-1.1741414218828972
347,2021-12,-1.3726969291190392
348,2022-01,-1.011845691630773
349,2022-02,-0.6660945234736463
350,2022-03,-1.0274076495544262
351,2022-04,-1.1564826171318552
352,2022-05,-0.9978196380109795
353,2022-06,-0.7091814637841858
354,2022-07,-0.8353792868878183
355,2022-08,-0.9082781017949805
356,2022-09,-0.48266813246279494
357,2022-10,-0.1991630533898276
358,2022-11,-1.0122740625928481
359,2022-12,-0.5823144380146402
360,2023-01,-0.10258792580452905
361,2023-02,-0.43036230427918315
362,2023-03,-0.8068581995244093
363,2023-04,-0.9048717263022524
364,2023-05,-0.4172504967181461
365,2023-06,-0.8355457610626482
366,2023-07,-0.7496653777807741
367,2023-08,-0.5121711616742513
368,2023-09,-0.4681534702156681
369,2023-10,-0.3200661756879545
370,2023-11,-0.35978529242627055
371,2023-12,-0.14877377403166936
372,2024-01,0.011725737803160429
373,2024-02,0.2861990142317947
374,2024-03,0.3830695851115229
375,2024-04,0.08256815785246636
376,2024-05,0.023650204983110882
377,2024-06,-0.2816818438152016
378,2024-07,-0.38037663953179807
379,2024-08,-0.0644666146282265
380,2024-09,-0.40198170557428725
381,2024-10,-0.7835471690975065
382,2024-11,-0.8630777627281702
383,2024-12,-0.1829672572596214
384,2025-01,0.16327210468719006
385,2025-02,-0.17388392554580245
386,2025-03,-0.5164361297459475
387,2025-04,-0.4041550186566537
388,2025-05,-0.7406230401180904
389,2025-06,-0.7774179994526418
390,2025-07,-1.3585429212441378
391,2025-08,-1.277626962589695
392,2025-09,-0.8836098209906202
393,2025-10,-0.7160577389494539
394,2025-11,-0.39989149776569005
395,2025-12,-0.5694771933788146
396,2026-01,-0.4692362077869681
397,2026-02,-0.8807662863492054
398,2026-03,-1.364292568465107
399,2026-04,-2.235916460689682
400,2026-05,-2.2740261297286097
